"OBJECTID","TABLE_NAME","FK_TABLE_ID","DISCUSSION","LOGGED_BY","LOG_DATE","CREATED_USER","CREATED_DATE","LAST_EDITED_USER","LAST_EDITED_DATE","ACTIVE","RESPONSIBLE_POC","POC_REVIEW_DATE"
23,"RISK_REGISTER","TR-1D","Upload from spreadsheet:  PDT Discussions and Conclusions: We could not conduct numeric modeling of barges in the chamber to measure the effectiveness of flush. How often will we be able to flush during certain times of the year? How do we buy down risk with physical modeling?; PDT Discussion on Likelihood and Impact: We're not able to clear floating ANS from the chamber at the efficacy level required.; Risk Managment Discussion: Review hydrograph and compare to invasive carp spawning to capture this risk of passage during low flow periods. Conduct validation during physical modeling to identify a level of water exchange (effectiveness) for different head differential conditions.","Kayleigh Thomas","8/20/2021 10:17:35 AM","BRANDONROAD",20-AUG-21 03.14.58.000000000 PM,"BRANDONROAD",20-AUG-21 03.29.04.000000000 PM,"","",
24,"RISK_REGISTER","TR-7","Upload from spreadsheet:  PDT Discussions and Conclusions: New 6x6 culvert?.proper space to fit within the existing lock structure?  Additional valve to force water through these valves, sequencing of valves, four valves needed to isolate the ports.; PDT Discussion on Likelihood and Impact: could prevent flushing from being feasible from the large upstream port which could result in less than desired efficiency.; Risk Managment Discussion: Structures completed analysis and found there is space to construct what is needed","Kayleigh Thomas","8/20/2021 10:17:35 AM","BRANDONROAD",20-AUG-21 03.14.58.000000000 PM,"BRANDONROAD",20-AUG-21 03.29.04.000000000 PM,"","",
25,"RISK_REGISTER","TR-9a","Upload from spreadsheet:  PDT Discussions and Conclusions: As the number of speakers increase, so will the construction and maintenance cost. Strive for modular design; redundancy; PDT Discussion on Likelihood and Impact: initial indication is the number of speakers can be reduced;; Risk Managment Discussion: Continued R&D; re-evaluate BR acoustics cross walked with data collected at Lock 19 for improvements;","Kayleigh Thomas","8/20/2021 10:17:35 AM","BRANDONROAD",20-AUG-21 03.14.58.000000000 PM,"BRANDONROAD",20-AUG-21 03.29.04.000000000 PM,"","",
26,"RISK_REGISTER","TR-9c","Upload from spreadsheet:  PDT Discussions and Conclusions: Acoustic barrier can potentially resonate in the empty barges due to hollow hulls creating nuisance.; PDT Discussion on Likelihood and Impact: Could interfere with communications between deckhands and captains; empty barges becoming an amplifier of the sound; may lose efficacy of deterrent system if volume levels must be lowered; impacts to public use of the adjacent area; Risk Managment Discussion: Continued R&D; collect data; evaluate affects on actual navigation vessels at Lock 19;","Kayleigh Thomas","8/20/2021 10:17:35 AM","BRANDONROAD",20-AUG-21 03.14.58.000000000 PM,"BRANDONROAD",20-AUG-21 03.29.04.000000000 PM,"","",
27,"RISK_REGISTER","TR-9d","Upload from spreadsheet:  PDT Discussions and Conclusions: Single source production rate is very limited; sole source procurement required;; PDT Discussion on Likelihood and Impact: If we need to change to another source there will be an impact to design when it comes to housing size, channel layout/recesses etc.; pulse acoustic technologies;; Risk Managment Discussion: conduct a sources sought of other speakers; development salient characteristics specifications;  laboratory testing of other systems; sources sought on salient conditions desired","Kayleigh Thomas","8/20/2021 10:17:35 AM","BRANDONROAD",20-AUG-21 03.14.58.000000000 PM,"BRANDONROAD",20-AUG-21 03.29.04.000000000 PM,"","",
28,"RISK_REGISTER","TR-9g","Upload from spreadsheet:  PDT Discussions and Conclusions: Don't know the effects air bubbles will have on sound; PDT Discussion on Likelihood and Impact: acoustic barrier performance may be diminished by bubble curtain;. Air normally effects sound propagation in water; two technologies combined have not included fish response; operational cost of air compressors at L19 in conjunction with acoustic testing; Risk Managment Discussion: Testing at Lock 19 with air bubble curtain on can be done to collect data; look at other sites testing bubble curtains (Barkley, Peoria); look at funding OD for additional air compressor costs at testing sites","Kayleigh Thomas","8/20/2021 10:17:35 AM","BRANDONROAD",20-AUG-21 03.14.58.000000000 PM,"BRANDONROAD",20-AUG-21 03.29.04.000000000 PM,"","",
29,"RISK_REGISTER","TR-9f","Upload from spreadsheet:  PDT Discussions and Conclusions: Acoustic system has not been tested for 25 or 50 yr. operation; PDT Discussion on Likelihood and Impact: Unknown until measured; increased maintenance and/or repair/replacement; Risk Managment Discussion: Test speakers for an extended period of time;  measure the success (durability and any degradation) at Locks 19 & 6;","Kayleigh Thomas","8/20/2021 10:17:35 AM","BRANDONROAD",20-AUG-21 03.14.58.000000000 PM,"BRANDONROAD",20-AUG-21 03.29.04.000000000 PM,"","",
30,"RISK_REGISTER","TR-11","Upload from spreadsheet:  PDT Discussions and Conclusions: don't have RDB, then additional look at permitting, hydraulics, cost of handling, method for control building would need to be altered if not placed on rock fill, utility access to LDB if have to build there, power to the facility, build cross over?; PDT Discussion on Likelihood and Impact: At some point need to begin pursuing LDB option, hydrologic investigations of that LDB site etc. if RDB not available; set a ""go, no go"" date of January 2022 with the assumption HTRW phase 2 samples will have been obtained and analyzed by that date;; Risk Managment Discussion: Obtain and analyze phase 2 HTRW samples","Kayleigh Thomas","8/20/2021 10:17:35 AM","BRANDONROAD",20-AUG-21 03.14.58.000000000 PM,"BRANDONROAD",20-AUG-21 03.29.04.000000000 PM,"","",
32,"RISK_REGISTER","TR-18A","Upload from spreadsheet:  PDT Discussions and Conclusions: water column distribution of current, shallower channel depth, what is the consequence at Brandon Road, leads to material choices and voltages, can we accommodate the same design as at Romeoville?; PDT Discussion on Likelihood and Impact: Due to the minimal depth between the electrodes and the barges that design parameters will be changed drastically.; Risk Managment Discussion: Working at defining design parimeters for varying tailwater conditions to set limits for the design of the electric barrier sampling of water conductivity.","Kayleigh Thomas","8/20/2021 10:17:35 AM","BRANDONROAD",20-AUG-21 03.14.58.000000000 PM,"BRANDONROAD",20-AUG-21 03.29.04.000000000 PM,"","",
48,"RISK_REGISTER","TR-18B","Upload from spreadsheet:  PDT Discussions and Conclusions: USCG will provide the final regulated navigation area dictating the operating procedures for the area, build project first then USCG testing; PDT Discussion on Likelihood and Impact: Coast Guard personnel rotate out every three years, need to build continuity through the project; Risk Managment Discussion: Conduct workshops and design charrettes with USCG and navigation, make sure they are included on research presentations; When new staff comes in update them on the project.","Kayleigh Thomas","8/20/2021 10:17:35 AM","BRANDONROAD",20-AUG-21 03.14.58.000000000 PM,"BRANDONROAD",20-AUG-21 03.29.04.000000000 PM,"","",
49,"RISK_REGISTER","TR-1C","Upload from spreadsheet:  PDT Discussions and Conclusions: We'll want enough modeling to have a definitive path forward to complete design, we may be changing operational requirements for dam operation if a flushing lock is incorporated.  If we don't have remote operations of the dam now, does this require a separate process?; PDT Discussion on Likelihood and Impact: We need modeling to complete design of the flushing lock; If we adopt a flushing lock procedure, we will need to mitigate water usage through the lock so we are not passing extra water over the dam.; Risk Managment Discussion: Have regular communication with ERDC to set milestones and to ensure delivery of the physical model construction and delivery of the results.","Kayleigh Thomas","8/20/2021 10:17:35 AM","BRANDONROAD",20-AUG-21 03.14.58.000000000 PM,"BRANDONROAD",20-AUG-21 03.29.04.000000000 PM,"","",
50,"RISK_REGISTER","TR-6H","Upload from spreadsheet:  PDT Discussions and Conclusions: Right sizing it for incremental construction; operations resources; foundation system given site may be capped if HTRW is present; future expandability for future technologies; We may not be able to get HTRW information in time to meet 2024 construction schedule; Reason for the schedule risk is due to impacts to construction methods that may be required to construct on the peninsula.; PDT Discussion on Likelihood and Impact: The location could jeopardize overall project costs if we use LDB for construction; Risk Managment Discussion: ROE to NRG to explore and sample ground; dialog with utility companies;  identify the closest source of power for delivery to site; Engineering Charrette (operations); get more permanent RE for future expansion if needed; creation of utility corridors/duct banks; investigating the possibility to construct on the LDB","Kayleigh Thomas","8/20/2021 10:17:35 AM","BRANDONROAD",20-AUG-21 03.14.58.000000000 PM,"BRANDONROAD",20-AUG-21 03.29.04.000000000 PM,"","",
51,"RISK_REGISTER","TR-9","Upload from spreadsheet:  PDT Discussions and Conclusions: Limited systems are being tested. One system is patented so we do not have the ability to test. Do we have the right system? Are fish responsive to the systems being tested in the field? We need to maintain at appropriate levels that do not disrupt navigation and local residence. Is it sustainable?; PDT Discussion on Likelihood and Impact: If it's not affective, may need to abandon concept for another deterrent system; R&D will take several years to reach conclusions; durability; sediment; Risk Managment Discussion: Continued R&D; MVR support of testing at L&D 19 test site","Kayleigh Thomas","8/20/2021 10:17:35 AM","BRANDONROAD",20-AUG-21 03.14.58.000000000 PM,"BRANDONROAD",20-AUG-21 03.29.04.000000000 PM,"","",
52,"RISK_REGISTER","TR-9h","Upload from spreadsheet:  PDT Discussions and Conclusions: Ambient noise of the bridge could interfere with the acoustic deterrent; PDT Discussion on Likelihood and Impact: Bridge sounds overlapping with acoustic deterrent;; Risk Managment Discussion: ERDC is aware of the risk; Conduct additional sound testing at Brandon Road.","Kayleigh Thomas","8/20/2021 10:17:35 AM","BRANDONROAD",20-AUG-21 03.14.58.000000000 PM,"BRANDONROAD",20-AUG-21 03.29.04.000000000 PM,"","",
