"FIELDNAME","VALUE","DESCRIPTION","SORTORDER","LABEL"
"RISK CATEGORY","PROJECT & PROGRAM MGMT","",,""
"RISK CATEGORY","CONTRACT ACQUISITION RISKS","",,""
"RISK CATEGORY","TECHNICAL RISKS","",,""
"RISK CATEGORY","NAVIGATION","",,""
"RISK CATEGORY","LANDS AND DAMAGES RISKS","",,""
"RISK CATEGORY","REGULATORY AND ENVIRONMENTAL RISKS","",,""
"RISK CATEGORY","CONSTRUCTION RISKS","",,""
"RISK CATEGORY","ESTIMATE AND SCHEDULE RISKS","",,""
"RISK CATEGORY","PROGRAMMATIC RISKS","",,""
"RISK CATEGORY","GENERAL PROGRAM","",,""
"RISK CATEGORY","PLANNING","",,""
"RISK CATEGORY","ENGINEERING","",,""
"RISK CATEGORY","ECONOMICS","",,""
"RISK CATEGORY","ENVIRONMENT","",,""
"RISK CATEGORY","REAL ESTATE","",,""
"RISK CATEGORY","REGULATORY","",,""
"RISK CATEGORY","IMPACTS TO RECREATION","",,""
"RISK CATEGORY","IMPACTS TO PUBLIC SAFETY","",,""
"RISK CATEGORY","IMPACTS TO PUBLIC WATER ACCESS","",,""
"RISK CATEGORY","IMPACTS TO TRANSPORTATION","",,""
"RISK CATEGORY","IMPACTS TO AQUATIC SPECIES MOVEMENT","",,""
"RISK CATEGORY","NON-REGULATORY","",,""
"RISK CATEGORY","FLOODWAY PERMIT","",,""
"RISK CATEGORY","OPPORTUNITY","",,""
"ENGAGEMENT","Level 1 - PDT","",1,""
"ENGAGEMENT","Level 2 - Mid-Level Exec Leadership","",2,""
"ENGAGEMENT","Level 3 - Senior Exec Board","",3,""
"ENGAGEMENT","Level 4 - MVD","",4,""
"ENGAGEMENT","Level 5 - HQUSACE","",5,""
"TIMING_OF_DELAY","Prior to Construction","",1,""
"TIMING_OF_DELAY","During Construction","",2,""
"TIMING_OF_DELAY","Prior/During Construction","",3,""
"COST_LIKELIHOOD","Very Unlikely","",1,""
"COST_LIKELIHOOD","Unlikely","",2,""
"COST_LIKELIHOOD","Likely","",3,""
"COST_LIKELIHOOD","Very Likely","",4,""
"RISK_STRATEGY","Accept & Avoid","",2,""
"RISK_STRATEGY","Accept & Mitigate","",3,""
"RISK_STRATEGY","Accept & Transfer","",4,""
"RISK_STRATEGY","Mitigate","",5,""
"RISK_STRATEGY","Mitigate & Transfer","",6,""
"RISK_STRATEGY","Realized","",7,""
"RISK_STRATEGY","Transfer","",8,""
"SCHEDULE_LIKELIHOOD","Very Unlikely","",1,""
"COST_IMPACT","Negligible","$0-$4 Million",1,"Negligible - $0-$4 Million"
"COST_IMPACT","Marginal","$4-$24 Million",2,"Marginal - $4-$24 Million"
"COST_IMPACT","Significant","$24-$56 Million",3,"Significant - $24-$56 Million"
"COST_IMPACT","Critical","$56-$120 Million",4,"Critical - $56-$120 Million"
"COST_IMPACT","Crisis","$120 Million +",5,"Crisis - $120 Million +"
"SCHEDULE_IMPACT","Negligible","0-4.8 months",1,"Negligible - 0-4.8 months"
"SCHEDULE_IMPACT","Marginal","4.8-9.6 months",2,"Marginal - 4.8-9.6 months"
"SCHEDULE_IMPACT","Significant","9.6-19.2 months",3,"Significant - 9.6-19.2 months"
"SCHEDULE_IMPACT","Critical","19.2-38.4 months",4,"Critical - 19.2-38.4 months"
"SCHEDULE_IMPACT","Crisis","38.4 months +",5,"Crisis - 38.4 months +"
"RISK_STRATEGY","Accept","",1,""
"SCHEDULE_LIKELIHOOD","Unlikely","",2,""
"SCHEDULE_LIKELIHOOD","Likely","",3,""
"SCHEDULE_LIKELIHOOD","Very Likely","",4,""
"APPROVAL STATUS","Not approved","",1,""
"APPROVAL STATUS","Pending","",2,""
"APPROVAL STATUS","Rejected","",3,""
"APPROVAL STATUS","Approved","",4,""
"DISCIPLINE","Cultural Resources","",1,""
"DISCIPLINE","Economics","",2,""
"DISCIPLINE","Engineering - Cost ","",3,""
"DISCIPLINE","Engineering - General ","",4,""
"DISCIPLINE","Engineering - Geotechnical ","",5,""
"DISCIPLINE","Engineering - H&H ","",6,""
"DISCIPLINE","Environment","",7,""
"DISCIPLINE","Other","",8,""
"DISCIPLINE","Plan Formulation","",9,""
"DISCIPLINE","Policy","",10,""
"DISCIPLINE","Project Management","",11,""
"DISCIPLINE","Real Estate","",12,""
