"OBJECTID","RISK_NO","RISKCATEGORY","FEATURE","DISCIPLINE","RISK_OPPORTUNITY_EVENT","CONCERNS","PDT_DISC_CONC","PDT_DISC_LIKELI_IMPACT","PDT_DISC_RISK_MANAG_STRATEGY","ACTION_ITEMS","RISK_STRATEGY","COST_LIKELIHOOD","COST_IMPACT","CONDITIONAL_FORMATTING","CONDITIONAL_FORMATTING2","CONDITIONAL_FORMATTING3","COST_RISK","COST_IMPACT_PER_PROJECT","SCHEDULE_LIKELIHOOD","SCHEDULE_IMPACT","SCHEDULE_RISK","SCHEDULE_IMPACT_PER_PROJECT","EFFICACY_IMPACT","EFFICACY_LIKELIHOOD","EFFICACY_RISK","CORRELATION_TO_OTHER_RISKS","TECHNICAL_POC","POC_REVIEW_DATE","TIMING_OF_DELAY","LESSONS_LEARNED","START_DATE","END_DATE","ACTIVE","TREND","IMPACT","OUTCOME","OWNER","MANAGEMENT_STATUS","FK_TABLE_ID","ENG_LEVEL","LEVEL_DATE","LAST_EDITED_DATE"
670,"TR-9c","TECHNICAL RISKS","Acoustic Fish Deterrent","Engineering - General ","Acoustic Barrier R&D","Noise on barges","Acoustic barrier can potentially resonate in the empty barges due to hollow hulls creating nuisance.","Could interfere with communications between deckhands and captains; empty barges becoming an amplifier of the sound; may lose efficacy of deterrent system if volume levels must be lowered; impacts to public use of the adjacent area","Continued R&D; collect data; evaluate affects on actual navigation vessels at Lock 19;","Finish R&D, Design Charrettes, and preliminary design","Accept","Unlikely","Negligible","Green","Green","Green","Low","$0-$4 Million","Unlikely","Negligible","Low","0-4.8 months","Negligible","Very Unlikely","Low","","Christa Woodley",01-JUL-21 12.00.00.000000000 AM,"Both","",01-JAN-24 12.00.00.000000000 AM,01-JAN-25 12.00.00.000000000 AM,"Yes","","","","","Open","TR-9c","Level 1",19-JUL-21 01.32.36.000000000 PM,10-DEC-21 07.14.22.000000000 PM
671,"TR-9d","TECHNICAL RISKS","Acoustic Fish Deterrent","Environment","Acoustic Barrier R&D","Single source for speakers, sole proprietor","Single source production rate is very limited; sole source procurement required;","If we need to change to another source there will be an impact to design when it comes to housing size, channel layout/recesses etc.; pulse acoustic technologies;","conduct a sources sought of other speakers; development salient characteristics specifications;  laboratory testing of other systems; sources sought on salient conditions desired","Finish R&D, Design Charrettes, and preliminary design","Accept & Mitigate","Unlikely","Negligible","Green","Red","Red","Low","$0-$4 Million","Very Likely","Critical","High","19.2-38.4 months","Significant","Likely","High","","Christa Woodley",01-JUL-21 12.00.00.000000000 AM,"Both","",01-DEC-21 12.00.00.000000000 AM,01-JAN-23 12.00.00.000000000 AM,"Yes","","","","","Open","TR-9d","Level 1",19-JUL-21 01.32.37.000000000 PM,10-DEC-21 07.14.22.000000000 PM
673,"TR-9g","TECHNICAL RISKS","Acoustic Fish Deterrent","Environment","Acoustic Barrier R&D","Interaction with Bubble Curtain","Don't know the effects air bubbles will have on sound","acoustic barrier performance may be diminished by bubble curtain;. Air normally effects sound propagation in water; two technologies combined have not included fish response; operational cost of air compressors at L19 in conjunction with acoustic testing","Testing at Lock 19 with air bubble curtain on can be done to collect data; look at other sites testing bubble curtains (Barkley, Peoria); look at funding OD for additional air compressor costs at testing sites","Finish R&D, Design Charrettes, and preliminary design","Accept","Unlikely","Negligible","Green","Green","Orange","Low","$0-$4 Million","Unlikely","Negligible","Low","0-4.8 months","Significant","Unlikely","Moderate","","Christa Woodley",01-JUL-21 12.00.00.000000000 AM,"Both","",01-JAN-23 12.00.00.000000000 AM,01-JAN-25 12.00.00.000000000 AM,"Yes","","","","","Open","TR-9g","Level 1",19-JUL-21 01.32.39.000000000 PM,10-DEC-21 07.14.22.000000000 PM
674,"TR-9f","TECHNICAL RISKS","Acoustic Fish Deterrent","Environment","Acoustic Performance over time","Operability, maintainability, sustainability","Acoustic system has not been tested for 25 or 50 yr. operation","Unknown until measured; increased maintenance and/or repair/replacement","Test speakers for an extended period of time;  measure the success (durability and any degradation) at Locks 19 & 6;","Finish R&D, Design Charrettes, and preliminary design","Accept","Unlikely","Negligible","Green","Green","Red","Low","$0-$4 Million","Unlikely","Negligible","Low","0-4.8 months","Significant","Likely","High","","Christa Woodley",01-JUL-21 12.00.00.000000000 AM,"Both","",01-JAN-23 12.00.00.000000000 AM,01-JAN-25 12.00.00.000000000 AM,"Yes","","","","","Open","TR-9f","Level 1",19-JUL-21 01.32.40.000000000 PM,10-DEC-21 07.14.22.000000000 PM
676,"TR-11","TECHNICAL RISKS","All","","If we don't have NRG property for Construction Staging Sites, rock placement","RDB is designated spot for all rock spoils, would double handle or haul away driving cost, staging area may be impacted based on availability of NRG property","don't have RDB, then additional look at permitting, hydraulics, cost of handling, method for control building would need to be altered if not placed on rock fill, utility access to LDB if have to build there, power to the facility, build cross over?","At some point need to begin pursuing LDB option, hydrologic investigations of that LDB site etc. if RDB not available; set a ""go, no go"" date of January 2022 with the assumption HTRW phase 2 samples will have been obtained and analyzed by that date;","Obtain and analyze phase 2 HTRW samples","Complete Design Charrettes, and preliminary design, and sampling for HTRW","Accept & Mitigate","Likely","Significant","Red","Red","Transparent","High","$24-$56 Million","Likely","Significant","High","9.6-19.2 months","","","","TR-6H. LD-1, EST-9","John Behrens",,"Both","",,,"No","","","","","Open","TR-11","Level 1",19-JUL-21 01.32.41.000000000 PM,10-DEC-21 07.14.22.000000000 PM
678,"TR-17","TECHNICAL RISKS","Flushing Lock","Engineering - General ","Operation of Flushing Lock in Combination with Hydro Power Study","Balance of water between hydro power and flushing lock may be difficult.","USACE controls the water supply and would govern availbility to any developed hydropower ventures","under USACE control - no impact","Establish water usage agreements","","Accept","Very Unlikely","Negligible","Green","Green","Orange","Low","$0-$4 Million","Very Unlikely","Negligible","Low","0-4.8 months","Marginal","Likely","Moderate","","Jim Bartek",01-JUL-21 12.00.00.000000000 AM,"Both","",01-JAN-22 12.00.00.000000000 AM,01-JAN-23 12.00.00.000000000 AM,"Yes","","","","","Open","TR-17","Level 1",19-JUL-21 01.32.42.000000000 PM,10-DEC-21 07.14.22.000000000 PM
680,"TR-18a","TECHNICAL RISKS","Electric Dispersal Barrier","Engineering - General ","Electric Barrier Deterrent","Design of concepts, channel depths, etc.","water column distribution of current, shallower channel depth, what is the consequence at Brandon Road, leads to material choices and voltages, can we accommodate the same design as at Romeoville?","Due to the minimal depth between the electrodes and the barges that design parameters will be changed drastically.","Working at defining design parimeters for varying tailwater conditions to set limits for the design of the electric barrier sampling of water conductivity.","Finish R&D, Design Charrettes, and preliminary design","Accept & Mitigate","Unlikely","Significant","Orange","Green","Red","Moderate","$24-$56 Million","Unlikely","Negligible","Low","0-4.8 months","Critical","Likely","High","","Kirk Sunderman",01-JUL-21 12.00.00.000000000 AM,"Both","",01-AUG-21 12.00.00.000000000 AM,01-JUL-23 12.00.00.000000000 AM,"Yes","","","","","Open","TR-18a","Level 1",19-JUL-21 01.32.44.000000000 PM,10-DEC-21 07.14.22.000000000 PM
681,"TR-18b","TECHNICAL RISKS","Electric Dispersal Barrier","Engineering - General ","Electric Barrier Deterrent","Coast Guard provides final operating parameters different from our current assumptions and changes the efficacy of the electric barrier after implementation","USCG will provide the final regulated navigation area dictating the operating procedures for the area, build project first then USCG testing","Coast Guard personnel rotate out every three years, need to build continuity through the project","Conduct workshops and design charrettes with USCG and navigation, make sure they are included on research presentations; When new staff comes in update them on the project.","Keep USCG involved","Accept & Transfer","Unlikely","Negligible","Green","Green","Red","Low","$0-$4 Million","Unlikely","Negligible","Low","0-4.8 months","Critical","Likely","High","","Kirk Sunderman",01-JUL-21 12.00.00.000000000 AM,"Neither","",01-JAN-22 12.00.00.000000000 AM,01-JUL-24 12.00.00.000000000 AM,"Yes","","","","","Open","TR-18b","Level 1",19-JUL-21 01.32.45.000000000 PM,10-DEC-21 07.14.22.000000000 PM
965,"TR-1C","TECHNICAL RISKS","Flushing Lock","","Flushing Lock, Filling/Emptying System","Model construction fitting within our timeline","We'll want enough modeling to have a definitive path forward to complete design, we may be changing operational requirements for dam operation if a flushing lock is incorporated.  If we don't have remote operations of the dam now, does this require a separate process?","We need modeling to complete design of the flushing lock; If we adopt a flushing lock procedure, we will need to mitigate water usage through the lock so we are not passing extra water over the dam.","Have regular communication with ERDC to set milestones and to ensure delivery of the physical model construction and delivery of the results.","Finish R&D; receiving monthly/bi-weekly reports from ERDC","Mitigate & Transfer","Unlikely","Negligible","Green","Green","Transparent","Low","$0-$4 Million","Unlikely","Negligible","Low","0-4.8 months","","","","","Amanda Patterson",,"Prior","",,,"No","","","","","Open","","",,10-DEC-21 07.14.22.000000000 PM
649,"TR-1a","TECHNICAL RISKS","Flushing Lock","Engineering - General ","Flushing Lock Filling/Emptying System","Operational safety concerns of emptying filling system due to potentially increased hawser forces.","Decisions made to narrow the channel will magnify this concern; it also affects the prelockage/mooring; The lock operational procedures may need to be modified to maximize water exchange.","This would cause navigation delays if tows have to tie off further downstream. Impacts would be realized during operation, would not impact cost or schedule.","We're conducting physical model at ERDC to investigate forces. May need to conduct field testing after installation.","Finish R&D. The team may need to do field testing during construction. The team may also need to adjust lock operating procedures.","Accept & Mitigate","Likely","Negligible","Green","Green","Orange","Low","$0-$4 Million","Unlikely","Negligible","Low","0-4.8 months","Marginal","Likely","Moderate","","Amanda Patterson",01-JUL-21 12.00.00.000000000 AM,"During","",23-OCT-22 12.00.00.000000000 AM,30-SEP-24 12.00.00.000000000 AM,"Yes","","","","","Open","TR-1a","Level 1",19-JUL-21 09.52.55.000000000 AM,10-DEC-21 07.14.22.000000000 PM
