"OBJECTID","TABLE_NAME","FK_TABLE_ID","CONCERNS","DISCIPLINE","DISCUSSION","RESPONSIBLE_POC","POC_REVIEW_DATE"
667,"RISK_REGISTER","RE-1","Right descending bank may not be available for use","Real Estate","Midwest Gen Property may not be acquired either because remediation requirements are to costly or time consuming or the sponsor is unable to negotiate access to the site to determine site conditions.  Additional engineering/design time would be required to develop plan for the left descending bank.","Marisa Lack",
671,"RISK_REGISTER","RE-1","Right descending bank may not be available for use","Real Estate","Impacts are high to the design schedule and the construction schedule and would incur large cost increase to move to the LDB. Multiple secondary impacts are identified in risks TR-6F, TR-6H, TR-11, EN-1","Marisa Lack",
672,"RISK_REGISTER","RE-1","Right descending bank may not be available for use","Real Estate","Trigger point for the LDB, have ILDNR continue to pursue ROE for exploration of the RDB property, conduct numeric modeling of the floodway with LDB scenarios for construction, if we lower wall to 514 is that a different impact than staying at 517 , can we add fill to the LDB wall? Collect survey data of LDB to conduct floodway modeling, increase channel conveyance vs flood plain mitigation. 7/28/21 Develop cost estimate and layout on the LDB. Look at alternate design methods.","Marisa Lack",
654,"RISK_REGISTER","PPM-1","Illinois has concerns with the current PPA template. Concerns that the PPA can't be negotiated and signed on time.","Project Management","Illinois has indicated in the past five years that they are unable to sign a Project Partnership Agreement, have issue with ""hold harmless"" and maintain in perpetuity. Illinois is also seeking financial support from the Great Lakes States and 95% design completion prior to signing PPA.
PPA needs to be signed by DEC 2022 to maintain schedule. 95% design is scheduled for completion in April 2024. 
The team will continue to coordinate and negotiate with the state and consider a two phase PPA by acquiring RE first. The team has identified this as a Key Decision Point for DEC 2021 to commit to signing by DEC 2022 or identify an alternative plan.","Marisa Lack",
655,"RISK_REGISTER","PPM-2","Lack of efficient funding in PED could delay design.","Project Management","There is strong support for the project and the project is fully funded through the second year of a projected 3 year phase.
We are expecting to receive necessary funds for year 3 to complete design.  If we do not receive funds the schedule would slip and a construction contract may not be awarded in the targeted FY24.
The team will continue to request funding needs and communicate the importance of the project and execute the funds we have available.","Marisa Lack",
652,"RISK_REGISTER","CA-1","All contracts are assumed to be unrestricted (full and open). If this assumption is incorrect, costs will be higher.","Project Management","The team will address this when we get closer to construction. The impact includes potentially less bidders or we'd have a higher price (8A). The teams strategy is to have good information for the board. There will be an acquisition strategy meeting between 35% and 65% design.","Marisa Lack",
653,"RISK_REGISTER","CA-2","Systems need to be packaged to meet their intended functions and warranties can be enforced.","Project Management","The team will address this when we get closer to construction. Current actions being taken include experimental technologies. It may void normal warranties since ground current and speakers have a higher risk to void warranties. The team needs to stay current on technologies and pay attention to details on material, non-standard specification, and sole source specifications.","Marisa Lack",
656,"RISK_REGISTER","CA-3","Larger contracts may be broken into multiple contracts.","Project Management","The team will address this when we get closer to construction. Funding, RE, permits, and navigation impacts all could result in needing to downsize larger contracts. The team will need to keep HQ informed on the needs of the project for efficient execution.","Marisa Lack",
657,"RISK_REGISTER","CA-4","The type of contract, Design/Build or Design/Bid/Build, can affect timeline and cost.","Project Management","The team will address this when we get closer to construction. The PDT needs direction from a higher authority to execute funds sooner or reduce risk. The impact is that the design and build could be completed faster but at a risk to not achieve goals. The team needs to keep HQ informed on the needs of the project for efficient execution.","Marisa Lack",
658,"RISK_REGISTER","CA-5","AE would not have capacity or execute in time","Project Management","The team is currently working on IDIQ capabilities. There's national capacity but could negatively be affected by a stimulus package. The team will continue to monitor capacities. The upper 3 districts continue to get new IDIQ contract capacity in place that are geared towards major navigation design capabilities. The team will develop workload to workforce capabilities.","Marisa Lack",
1287,"RISK_REGISTER","TR-1a","Operational safety concerns of emptying filling system due to potentially increased hawser forces.","Engineering - General ","The decisions made to narrow the channel will magnify this concern. It also affects the pre-lockage/mooring. The lock operational procedures may need to be modified to maximize water exchange. Impacts include navigation delays if tows have to tie off further downstream. The impacts would be realized during operation and would not impact construction cost or schedule. The team will conduct physical model and ERDC to investigate forces. The team may need to conduct field testing after installation.","",
669,"RISK_REGISTER","OPP-1","Entrance and approach conditions to asses potential improvements and efficiencies to asses the impacts of changes.  Impact of generation cooling water intake; Impact of main channel flows coming down from the dam","Engineering - H&H ","PDT Discussions and conclusions-{{Scopes of work being finalized for physical model, anticipate model completion within 18 months?  Modeling data will provide…., should include consideration of channel depth for vessel departure.; do not want to create a habitat for fish at approach channel ahead of barriers;  angled barrier(s) at the entrance (peninsula pulled back);}}  7/12/2021 ERDC has initiated building models
PDT Discussions on likelihood and impact-Scopes of work being finalized for physical model, anticipate model completion within 18 months?  Modeling data will provide…., should include consideration of channel depth for vessel departure.  Opportunity to improve navigation conditions better than what it is now
Risk Management strategy actions to be taken-Physical modeling of engineered channel and downstream channel approach; AISAP data tracking of navigation vessels (travel paths);
","Marisa Lack",
1604,"RISK_REGISTER","TR-9d","Single source for speakers, sole proprietor","Environment","If we need to change to another source there will be an impact to design when it comes to housing size, channel layout/recesses etc.; pulse acoustic technologies. ","",
1605,"RISK_REGISTER","TR-9d","Single source for speakers, sole proprietor","Environment","Conduct a sources sought of other speakers; development salient characteristics specifications; laboratory testing of other systems; sources sought on salient conditions desired. ","",
