"Risk Category","Risk Number","Component","Risk Opportunity Event","Concerns","Action Items","Risk Strategy","Cost Impact Likelihood","Cost Impact Severity","Cost Impact Per Project","Cost Risk Level","Schedule Impact Likelihood","Schedule Impact Severity","Schedule Impact Per Project","Schedule Risk Level","Correlation to Other Risks","Responsible POC","Timing of Delay","Engagement Level","Level Start Date"
"TECHNICAL RISKS","TR-9a","Acoustic Fish Deterrent","Acoustic Barrier R&D","Size & Number of Speaker Array","Finish R&D, Design Charrettes, and preliminary design","Accept","Unlikely","Negligible","$0-$2.5 Million","Low","Unlikely","Negligible","0-4.8 months","Low","-","Christa Woodley","Both","Level 1 - PDT","19-JUL-2021 13:32"
"TECHNICAL RISKS","TR-9c","Acoustic Fish Deterrent","Acoustic Barrier R&D","Noise on barges","Finish R&D, Design Charrettes, and preliminary design","Accept","Unlikely","Negligible","$0-$2.5 Million","Low","Unlikely","Negligible","0-4.8 months","Low","-","Christa Woodley","Both","Level 1 - PDT","19-JUL-2021 13:32"
"TECHNICAL RISKS","TR-9d","Acoustic Fish Deterrent","Acoustic Barrier R&D","Single source for speakers, sole proprietor","Finish R&D, Design Charrettes, and preliminary design","Accept & Mitigate","Unlikely","Negligible","$0-$2.5 Million","Low","Very Likely","Critical","19.2-38.4 months","High","-","Christa Woodley","Both","Level 1 - PDT","19-JUL-2021 13:32"
"TECHNICAL RISKS","TR-9g","Acoustic Fish Deterrent","Acoustic Barrier R&D","Interaction with Bubble Curtain","Finish R&D, Design Charrettes, and preliminary design","Accept","Unlikely","Negligible","$0-$2.5 Million","Low","Unlikely","Negligible","0-4.8 months","Low","-","Christa Woodley","Both","Level 1 - PDT","19-JUL-2021 13:32"
"TECHNICAL RISKS","TR-9f","Acoustic Fish Deterrent","Acoustic Performance over time","Operability, maintainability, sustainability","Finish R&D, Design Charrettes, and preliminary design","Accept","Unlikely","Negligible","$0-$2.5 Million","Low","Unlikely","Negligible","0-4.8 months","Low","-","Christa Woodley","Both","Level 1 - PDT","19-JUL-2021 13:32"
"REAL ESTATE","RE-1","Administrative","Land Acquisition","Right descending bank may not be available for use","Start pre-engineering for the LDB and RDB; Continue communication with Illinois.","Accept & Mitigate","Likely","Critical","$56-$120 Million","High","Unlikely","Critical","19.2-38.4 months","Moderate","TR-6F:TR-6H:TR-11:EN-1","Andy Liechty","Prior/During Construction","Level 1 - PDT","22-JUL-2021 00:00"
"REGULATORY AND ENVIRONMENTAL RISKS","REGEN-1","Engineering Channel","Flood Way Permit","Non-navigational wall is not an appropriate floodway use and there is not enough room on the peninsula to add the fill material without impacting the floodway","continue H&H","Accept & Mitigate","Likely","Marginal","$4-$24 Million","Moderate","Likely","Marginal","4.8-9.6 months","Moderate","-","Kirk Sunderman","Prior to Construction","Level 1 - PDT","22-JUL-2021 00:00"
"TECHNICAL RISKS","TR-9b","Acoustic Fish Deterrent","Acoustic Barrier R&D","Ambient noise","Finish R&D, Design Charrettes, and preliminary design","Accept","Unlikely","Negligible","$0-$4 Million","Low","Unlikely","Negligible","0-4.8 months","Low","-","Christa Woodley","Both","Level 1 - PDT","19-JUL-2021 13:32"
"TECHNICAL RISKS","TR-9","Acoustic Fish Deterrent","Acoustic Barrier R&D","Efficacy of Acoustics","Finish R&D, Design Charrettes, and preliminary design","Accept","Unlikely","Negligible","$0-$2.5 Million","Low","Unlikely","Negligible","0-4.8 months","Low","-","Christa Woodley","Both","Level 1 - PDT","19-JUL-2021 13:32"
"TECHNICAL RISKS","TR-9h","Acoustic Fish Deterrent","Acoustic Barrier R&D","Ambient Noise","Finish R&D, Design Charrettes, and preliminary design","Accept","Unlikely","Negligible","$0-$2.5 Million","Low","Unlikely","Negligible","0-4.8 months","Low","-","Christa Woodley","Both","Level 1 - PDT","19-JUL-2021 13:32"
